"end_of_period","loan_number","region","country_code","country","borrower","guarantor_country_code","guarantor","loan_type","loan_status","interest_rate","currency_of_commitment","project_id","project_name_","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount","repaid_to_ibrd","due_to_ibrd","exchange_adjustment","borrower_s_obligation","sold_3rd_party","repaid_3rd_party","due_3rd_party","loans_held","first_repayment_date","last_repayment_date","agreement_signing_date","board_approval_date","effective_date_most_recent_","closed_date_most_recent_","last_disbursement_date"
"2014-03-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2014-05-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2014-06-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2014-07-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2014-08-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2014-09-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2014-10-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2014-11-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2015-02-28T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2015-03-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2015-04-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2015-05-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation",,"Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2015-06-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2015-09-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2015-11-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2016-01-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2016-03-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2016-05-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2016-06-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2016-07-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2016-08-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2013-08-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH",,"NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2013-09-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH",,"NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2013-10-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH",,"NON POOL","Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2017-08-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407",,"21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1951-02-22T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2017-09-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407",,"21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2017-10-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407",,"21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2017-12-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407",,"21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2018-03-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407",,"21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2018-04-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407",,"21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2018-06-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407",,"21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2018-08-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407",,"21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2018-09-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407",,"21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2018-10-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407",,"21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2017-11-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH",,"NON POOL","Fully Repaid",,,"P004407",,"21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2016-10-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2016-11-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2016-12-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2017-01-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2017-02-28T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2017-03-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2017-04-30T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NON POOL","Fully Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2020-07-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NPL","Fully Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
"2020-08-31T00:00:00.000","IBRD01830","EAST ASIA AND PACIFIC","PH","Philippines","National Power Corporation","PH","Philippines","NPL","Fully Repaid","6",,"P004407","BINGA POWER","21000000","2611541.42","0","18388458.58","14096930.63","0","0","0","4291527.95","4291527.95","0","0","1960-12-01T00:00:00.000","1982-06-01T00:00:00.000","1957-11-22T00:00:00.000","1957-11-19T00:00:00.000","1958-02-26T00:00:00.000","1963-09-30T00:00:00.000",
